Tilltalsnamn,Antal bärare
ABDISAHAL,5
ABDISAID,2
ABDISALAAM,14
ABDISALAAN,12
ABDISALAM,115
ABDI-SALAM,4
ABDISALAN,95
ABDISAMAD,85
ABDI-SAMAD,2
ABDISAMED,27
ABDISAMET,2
ABDISATAAR,2
ABDISATAR,4
ABDISELAM,3
ABDISEMED,2
ABDISHAKOR,2
ABDISHAKOUR,2
ABDISHAKUR,155
ABDISHAKUUR,11
ABDISHUKRI,5
ABDISHUKUR,4
ABDISSA,2
ABDIWAAHID,2
ABDIWADUD,6
ABDIWADUUD,2
ABDIWAHAAB,5
ABDIWAHAB,95
ABDI-WAHAB,3
ABDIWAHID,45
ABDIWAKIL,2
ABDIWALI,83
ABDIWASA,8
ABDIWASAC,5
ABDIWELI,43
ABDI-WELI,3
ABDIYARE,5
ABDIZALAN,2
ABDL,5
ABDLA,2
ABDLAZIZ,2
ABDLHADI,2
ABDLKARIM,2
ABDLLA,2
ABDLLAH,3
ABDLMALEK,2
ABDLRAHMAN,6
ABDO,195
ABDOALLAH,3
ABDOH,3
ABDOL,49
ABDOLA,2
ABDOLAH,11
ABDOLAHAD,6
ABDOLALI,8
ABDOLAMIR,9
ABDOLAZIM,2
ABDOLAZIZ,4
ABDOLHADI,2
ABDOLHAMID,14
ABDOLHASSAN,3
ABDOLHOSSEIN,14
ABDOLJABBAR,2
ABDOLJALIL,2
ABDOLKAREM,2
ABDOLKARIM,12
ABDOLKHALEGH,5
ABDOLL,2
ABDOLLA,8
ABDOLLAH,77
ABDOLMAJID,9
ABDOLMEHDI,2
ABDOLMONEM,2
ABDOLNASER,6
ABDOLNASSER,2
ABDOLRAHIM,11
ABDOLRAHMAN,13
ABDOLRAOUF,3
ABDOLRAZAGH,2
ABDOLREZA,48
ABDOLSAMAD,2
ABDON,3
ABDORAHMAN,4
ABDORREZA,2
ABDOU,102
ABDOUKHADRE,2
ABDOUL,54
ABDOUL AZIZ,2
ABDOULA,2
ABDOULAH,2
ABDOULAI,2
ABDOULAYE,55
ABDOULAZIZ,4
ABDOULHAMID,2
ABDOULIE,149
ABDOULKADER,12
ABDOULKARIM,5
ABDOULLAH,16
ABDOULRAHMAN,5
ABDOURAHAMANE,3
ABDOURAHMAN,31
ABDOURAHMANE,4
ABDOURAZACK,2
ABDOURAZAK,2
ABDOUSALAM,2
ABDOW,7
ABDRAHMAN,17
ABDRIRAHMAN,2
ABDSALAM,2
ABDU,180
ABDU RAHMAN,2
ABDUALLAH,10
ABDUALRAHMAN,5
ABDUALRHMAN,2
ABDUAZIZ,5
ABDUFATAH,2
ABDUGANI,4
ABDUHAKIM,2
ABDUJABBAR,2
ABDUJAMOL,2
ABDUKADER,3
ABDUKADIR,38
ABDUKARIM,5
ABDUKHADER,3
ABDUKHADIR,2
ABDUL,2747
ABDUL AHAD,6
ABDUL ALI,3
ABDUL AZIZ,13
ABDUL BASIT,3
ABDUL GHANI,2
ABDUL HADI,13
ABDUL HAKIM,2
ABDUL HALIM,3
ABDUL HAMID,3
ABDUL JABBAR,2
ABDUL JALIL,3
ABDUL KADIR,4
ABDUL KARIM,5
ABDUL LATIF,3
ABDUL MAJID,5
ABDUL MALIK,4
ABDUL QADIR,2
ABDUL RAHMAN,25
ABDUL RASHID,2
ABDUL RAUF,3
ABDUL RAZAK,2
ABDUL REDA,2
ABDUL REHMAN,3
ABDUL SALAM,7
ABDUL WAHAB,2
ABDUL WALI,2
ABDULA,41
ABDULAAH,2
ABDULAAHI,30
ABDULADHEEM,2
ABDULADIF,2
ABDULAH,98
ABDULAHAD,108
ABDUL-AHAD,6
ABDULAHAT,4
ABDULAHD,2
ABDULAHI,386
ABDULAHMAD,2
ABDULAI,11
ABDULAKH,2
ABDULALEM,3
ABDULALI,9
ABDULALIM,11
ABDULALLAH,2
ABDULAMEER,8
ABDULAMEIR,2
ABDULAMIR,20
ABDULASIS,7
ABDULATEEF,7
ABDULATEF,3
ABDULATHIM,2
ABDULATI,2
ABDULATIF,32
ABDULAZEEM,2
ABDULAZEEZ,26
ABDULAZEZ,4
ABDULAZIM,10
ABDULAZIS,2
ABDULAZIZ,406
ABDUL-AZIZ,9
ABDULBAKI,22
ABDULBAQI,8
ABDULBARI,20
ABDULBASET,44
ABDULBASHIR,2
ABDULBASID,8
ABDULBASIR,9
ABDULBASIT,18
ABDULBORIY,4
ABDULCADIR,2
ABDULCELIL,3
ABDULELAH,31
ABDULELLAH,4
ABDULETIF,3
ABDULFATAAH,3
ABDULFATAH,64
ABDULFATTAH,31
ABDUL-FATTAH,2
ABDULFAZL,3
ABDULFETA,2
ABDULFETAH,4
ABDULFITAH,3
ABDULGAADIR,2
ABDULGADER,6
ABDULGADIR,19
ABDULGAFUR,2
ABDULGANI,13
ABDULGHADER,2
ABDULGHAFAR,4
ABDULGHAFFAR,2
ABDULGHAFOUR,3
ABDULGHAFUR,2
ABDULGHANI,73
ABDULHABIB,2
ABDULHADE,3
ABDULHADI,133
ABDUL-HADI,3
ABDULHADY,5
ABDULHAFEEZ,2
ABDULHAFEZ,4
ABDULHAFID,3
ABDULHAFIID,3
ABDULHAFIZ,12
ABDULHAI,21
ABDULHAK,5
ABDULHAKAM,4
ABDULHAKEEM,13
ABDULHAKEM,6
ABDULHAKIM,110
ABDULHALEEM,4
ABDULHALEM,3
ABDULHALIK,2
ABDULHALIM,29
ABDUL-HALIM,6
ABDULHAMED,10
ABDULHAMEED,19
ABDULHAMID,149
ABDUL-HAMID,2
ABDULHAMIT,7
ABDULHANAN,6
ABDULHANNAN,10
ABDULHAQ,3
ABDULHASIB,3
ABDULHASSAN,2
ABDULHAY,8
ABDULHUSAIN,2
ABDULHUSSAIN,3
ABDULHUSSEIN,16
